#  r   z    drift_time (t90)
  22  15  364.5
  22  16  380.8
  22  17  397.9
  22  18  416.2
  22  19  434.9
  22  20  453.8
  22  21  472.9
  22  22  492.0
  22  23  511.2
  22  24  530.4
  22  25  549.7
  22  26  569.2
  22  27  588.8
  22  28  608.4
  22  29  628.0
  22  30  647.4
  22  31  666.6
  22  32  685.7
  22  33  704.6
  22  34  723.1
  22  35  741.0
  22  36  758.4
  22  37  776.3
  22  38  794.2
  22  39  811.5
  22  40  828.3
  22  41  845.8
  22  42  863.5
  22  43  880.4
  22  44  897.5
  22  45  915.3
  22  46  932.9
  22  47  949.8
  22  48  967.1
  22  49  984.8
  22  50 1002.1
  23   0  234.7
  23   1  234.9
  23   2  236.5
  23   3  239.6
  23   4  246.0
  23   5  253.6
  23   6  261.4
  23   7  270.1
  23   8  281.0
  23   9  293.1
  23  10  305.2
  23  11  317.6
  23  12  332.5
  23  13  346.7
  23  14  362.9
  23  15  378.1
  23  16  395.6
  23  17  413.5
  23  18  430.9
  23  19  448.8
  23  20  467.7
  23  21  486.9
  23  22  506.4
  23  23  525.9
  23  24  545.5
  23  25  565.2
  23  26  584.7
  23  27  604.4
  23  28  624.1
  23  29  643.7
  23  30  663.0
  23  31  682.1
  23  32  700.7
  23  33  719.0
  23  34  737.4
  23  35  755.8
  23  36  773.9
  23  37  791.5
  23  38  808.4
  23  39  825.9
  23  40  843.5
  23  41  860.2
  23  42  877.3
  23  43  894.9
  23  44  912.5
  23  45  929.4
  23  46  947.0
  23  47  964.9
  23  48  982.7
  23  49  999.7
  23  50 1017.2
  24   0  248.2
  24   1  248.6
  24   2  251.2
  24   3  255.4
  24   4  259.8
  24   5  267.3
  24   6  276.0
  24   7  285.6
  24   8  295.9
  24   9  306.9
  24  10  318.7
  24  11  333.1
  24  12  346.5
  24  13  361.5
  24  14  376.8
  24  15  393.8
  24  16  409.6
  24  17  427.3
  24  18  445.7
  24  19  464.4
  24  20  483.4
  24  21  502.4
  24  22  521.7
  24  23  541.0
  24  24  560.4
  24  25  579.8
  24  26  599.3
  24  27  619.0
  24  28  638.6
  24  29  658.2
  24  30  677.6
  24  31  696.8
  24  32  715.9
  24  33  734.8
  24  34  753.3
  24  35  771.3
  24  36  788.6
  24  37  806.4
  24  38  824.1
